price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,yr_built,yr_renovated,zipcode,year,month
221900.0,3,1.0,1180,5650,1.0,0,0,3,1955,0,98178,2014,10
538000.0,3,2.25,2570,7242,2.0,0,0,3,1951,1,98125,2014,12
180000.0,2,1.0,770,10000,1.0,0,0,3,1933,0,98028,2015,02
604000.0,4,3.0,1960,5000,1.0,0,0,5,1965,0,98136,2014,12
510000.0,3,2.0,1680,8080,1.0,0,0,3,1987,0,98074,2015,02
1225000.0,4,4.5,5420,101930,1.0,0,0,3,2001,0,98053,2014,05
257500.0,3,2.25,1715,6819,2.0,0,0,3,1995,0,98003,2014,06
291850.0,3,1.5,1060,9711,1.0,0,0,3,1963,0,98198,2015,01
229500.0,3,1.0,1780,7470,1.0,0,0,3,1960,0,98146,2015,04
323000.0,3,2.5,1890,6560,2.0,0,0,3,2003,0,98038,2015,03
662500.0,3,2.5,3560,9796,1.0,0,0,3,1965,0,98007,2015,04
468000.0,2,1.0,1160,6000,1.0,0,0,4,1942,0,98115,2014,05
310000.0,3,1.0,1430,19901,1.5,0,0,4,1927,0,98028,2014,05
400000.0,3,1.75,1370,9680,1.0,0,0,4,1977,0,98074,2014,10
530000.0,5,2.0,1810,4850,1.5,0,0,3,1900,0,98107,2015,03
650000.0,4,3.0,2950,5000,2.0,0,3,3,1979,0,98126,2015,01
395000.0,3,2.0,1890,14040,2.0,0,0,3,1994,0,98019,2014,07
485000.0,4,1.0,1600,4300,1.5,0,0,4,1916,0,98103,2014,05
189000.0,2,1.0,1200,9850,1.0,0,0,4,1921,0,98002,2014,12
230000.0,3,1.0,1250,9774,1.0,0,0,4,1969,0,98003,2015,04
385000.0,4,1.75,1620,4980,1.0,0,0,4,1947,0,98133,2014,05
2000000.0,3,2.75,3050,44867,1.0,0,4,3,1968,0,98040,2014,08
285000.0,5,2.5,2270,6300,2.0,0,0,3,1995,0,98092,2014,07
252700.0,2,1.5,1070,9643,1.0,0,0,3,1985,0,98030,2014,05
329000.0,3,2.25,2450,6500,2.0,0,0,4,1985,0,98030,2014,11
233000.0,3,2.0,1710,4697,1.5,0,0,5,1941,0,98002,2014,11
937000.0,3,1.75,2450,2691,2.0,0,0,3,1915,0,98119,2014,06
667000.0,3,1.0,1400,1581,1.5,0,0,5,1909,0,98112,2014,12
438000.0,3,1.75,1520,6380,1.0,0,0,3,1948,0,98115,2014,06
719000.0,4,2.5,2570,7173,2.0,0,0,3,2005,0,98052,2015,03
580500.0,3,2.5,2320,3980,2.0,0,0,3,2003,0,98027,2014,11
280000.0,2,1.5,1190,1265,3.0,0,0,3,2005,0,98133,2014,12
687500.0,4,1.75,2330,5000,1.5,0,0,4,1929,0,98117,2014,06
535000.0,3,1.0,1090,3000,1.5,0,0,4,1929,0,98117,2014,11
322500.0,4,2.75,2060,6659,1.0,0,0,3,1981,0,98058,2014,12
696000.0,3,2.5,2300,3060,1.5,0,0,3,1930,1,98115,2014,06
550000.0,4,1.0,1660,34848,1.0,0,0,1,1933,0,98052,2014,05
640000.0,4,2.0,2360,6000,2.0,0,0,4,1904,0,98107,2014,12
240000.0,4,1.0,1220,8075,1.0,0,0,2,1969,0,98001,2015,02
605000.0,4,2.5,2620,7553,2.0,0,0,3,1996,0,98056,2014,06
625000.0,4,2.5,2570,5520,2.0,0,0,3,2000,0,98074,2014,07
775000.0,4,2.25,4220,24186,1.0,0,0,3,1984,0,98166,2014,08
861990.0,5,2.75,3595,5639,2.0,0,0,3,2014,0,98053,2014,07
685000.0,3,1.0,1570,2280,2.0,0,0,3,1922,0,98119,2014,10
309000.0,3,1.0,1280,9656,1.0,0,0,4,1959,0,98058,2014,07
488000.0,3,2.5,3160,13603,2.0,0,0,3,2003,0,98019,2014,07
210490.0,3,1.0,990,8528,1.0,0,0,3,1966,0,98023,2015,03
785000.0,4,2.5,2290,13416,2.0,0,0,4,1981,0,98007,2014,07
450000.0,3,1.75,1250,5963,1.0,0,0,4,1953,0,98115,2015,04
1350000.0,3,2.5,2753,65005,1.0,1,2,5,1953,0,98070,2015,03
228000.0,3,1.0,1190,9199,1.0,0,0,3,1955,0,98148,2014,09
345000.0,5,2.5,3150,9134,1.0,0,0,4,1966,0,98056,2015,02
600000.0,3,1.75,1410,4080,1.0,0,0,4,1950,0,98117,2014,12
585000.0,2,1.75,1980,8550,1.0,0,0,3,1981,0,98117,2015,02
920000.0,5,2.25,2730,6000,1.5,0,0,3,1927,0,98105,2015,03
885000.0,4,2.5,2830,5000,2.0,0,0,3,1995,0,98105,2014,05
292500.0,4,2.5,2250,4495,2.0,0,0,3,2008,0,98042,2014,08
301000.0,3,2.5,2420,4750,2.0,0,0,3,2003,0,98042,2015,04
951000.0,5,3.25,3250,14342,2.0,0,4,4,1968,0,98008,2014,08
430000.0,4,3.0,1850,9976,2.0,0,0,3,1991,0,98059,2015,02
650000.0,3,2.25,2150,21235,1.0,0,3,4,1959,0,98166,2014,12
289000.0,3,1.75,1260,8400,1.0,0,0,3,1954,0,98148,2014,08
